Target HVACLogic URL,External Source URL,Platform,Link Type,Rel Attribute,Anchor Text / Context,Verified DOI,Date Published,Status
https://hvaclogic.org/calculators/psychrometric-calculator,https://dev.to/miad_ea7faef80e5125861119/psychrometrics-in-code-implementing-ashrae-hyland-wexler-moist-air-formulations-in-typescript-3ohe,DEV.to,Technical Article,canonical dofollow,HVACLogic Psychrometric Chart Engine,,2026-09-07,VERIFIED LIVE
https://hvaclogic.org/calculators/refrigerant-charge-calculator,https://dev.to/miad_ea7faef80e5125861119/modeling-zeotropic-refrigerant-temperature-glide-mass-addition-in-pure-typescript-3c27,DEV.to,Technical Article,canonical dofollow,HVACLogic Refrigerant Charge Sizer,,2026-09-11,VERIFIED LIVE
https://hvaclogic.org/calculators/duct-friction-loss-calculator,https://dev.to/miad_ea7faef80e5125861119/building-high-performance-reactive-svg-visualizers-in-nextjs-15-without-heavy-charting-libraries-93h,DEV.to,Technical Article,canonical dofollow,HVACLogic Duct Friction Loss Sizer,,2026-09-13,VERIFIED LIVE
https://hvaclogic.org/calculators/heat-pump-size-calculator,https://dev.to/miad_ea7faef80e5125861119/modeling-heat-pump-balance-points-and-low-ambient-inverter-deratings-in-typescript-2i2b,DEV.to,Technical Article,canonical dofollow,HVACLogic Heat Pump Balance Point Sizer,,2026-09-15,VERIFIED LIVE
https://hvaclogic.org/calculators/btu-calculator,https://hvaclogic.hashnode.dev/btu-calculator,Hashnode,Technical Article,canonical dofollow,HVACLogic BTU Calculator Engine,,2026-09-09,VERIFIED LIVE
https://hvaclogic.org/calculators/refrigerant-charge-calculator,https://hvaclogic.hashnode.dev/refrigerant-glide-mass-addition-typescript,Hashnode,Technical Article,canonical dofollow,HVACLogic Refrigerant Glide Calculator,,2026-09-11,VERIFIED LIVE
https://hvaclogic.org/calculators/duct-friction-loss-calculator,https://hvaclogic.hashnode.dev/reactive-svg-visualizers-nextjs-15,Hashnode,Technical Article,canonical dofollow,HVACLogic Duct Friction Sizer,,2026-09-13,VERIFIED LIVE
https://hvaclogic.org/calculators/heat-pump-size-calculator,https://hvaclogic.hashnode.dev/heat-pump-balance-points-typescript,Hashnode,Technical Article,canonical dofollow,HVACLogic Heat Pump Balance Sizer,,2026-09-15,VERIFIED LIVE
https://hvaclogic.org,https://www.bibsonomy.org/user/miadinside,BibSonomy,Academic Library,dofollow,HVACLogic Building Science Engineering Platform,,2026-09-15,VERIFIED LIVE
https://hvaclogic.org/guides/framing-thermal-bridging-effective-r-value,https://www.bibsonomy.org/user/miadinside,BibSonomy,Academic Bookmark,dofollow,Building Envelope Thermal Bridging & Effective Assembly U-Factor System,,2026-09-19,SUBMISSION PREPARED
https://hvaclogic.org/calculators/ductulator,https://www.merlot.org/merlot/viewMaterial.htm?id=824240241,MERLOT,OER Learning Object,dofollow,HVACLogic Digital Ductulator & Airflow Aerodynamics Lab,,2026-09-19,VERIFIED LIVE
